Crotal;Dep;10-12-25;Estado ;30-12-25;Estado ;13-01-26;Estado;03-02-26;ESTADO;24-02-26;ESTADO;02-03-26;ESTADO;06-03-26;ESTADO
82525E9;42;;;;;2,7;;;;;;2,8;Cosechada;;
825262A;42;2,5;;;;2,5;;;;2,9;BARRO;2,4;;2,9;por
825263C;28;2,3;;2,4;;2,5;;;;;;2,9;Cosechada;;
826CB10;26;;;;;2,6;;;;3;Cosechada;;;;
82A7374;35;;;;;2,9;Cosechada;;;;;;;;
82A7521;34;2,4;;;;2,8;Cosechada;;;;;;;;
82A7575;28;;;;;2,8;;;;3,1;Cosechada;;;;
82A7724;26;;;;;2,5;;;;;;;;2,7;
82A79C8;35;;;;;2,8;Cosechada;;;;;;;;
82A7A51;33;2,5;;;;2,6;;;;;;2,7;;2,7;
826CB5E;33;2,6;;2,8;Cosechada;;;;;;;;;;
82A7981-807219B;33;2,7;;2,8;Cosechada;;;;;;;;;;
82A75E3;50;2,8;Cosechada;;;;;;;;;;;;
82A699F;43;2,6;;2,8;Cosechada;;;;;;;;;;
7CF92EC;;;;;;2,9;;2,8;Cosechada;;;;;;
8071E12;;;;;;3;;2,9;Cosechada;;;;;;
82A7600;2 CHIP/BUSCAR;;;;;2,7;;;;;;;;2,9;por
8252512;;;;;;2,7;;;Cosechada;;;;;;
80B0E82;;;;;;2,9;Cosechada;;;;;;;;
80b207f;;;;;;;;;;;;3,2;Cosechada;;
8072afb;;;;;;;;;;;;;;2,8;por
