id	legacy_id	internal_id	lot_id	sex	state	registration_time	devious_time	date_of_death	depuration_start_time	mortality_id	created_at	updated_at	secondary_internal_id	notes
50540		8063E51	46		alive	2026-04-29 20:24:33.567206					2026-04-29 20:24:33.567206	2026-04-29 20:24:33.567206		
50541		UX170729F	8	f	depuration	2026-04-29 21:07:29.374554			2026-04-29 21:07:29.374554		2026-04-29 21:07:29.374554	2026-04-29 21:07:29.374554		
